PC1,PC2,Cluster
0.6022546453956228,-0.8811042533702815,1
1.0381286464675468,-1.3245777678907715,1
0.18231513274184175,-0.8495849078557699,1
0.9290593410233642,-0.7764693838991747,1
0.5627873923872527,-1.2525642996085442,1
1.8316165330599006,-2.1403983841879413,1
0.15458910572814577,-0.5366510245926092,1
0.944475697592996,-0.48200550780670737,1
-1.9505496534990934,1.058714894167561,0
-1.9542749484109267,1.0549781244694938,0
2.4394901921028382,0.12377216420070472,1
-1.95557794760438,1.0536711117314592,0
-1.9529792694376615,1.0562777944393371,0
1.0450892740743112,-1.102504365386257,1
1.1182166835563618,-0.7486340113986558,1
1.317970154098223,-0.7525294843895763,1
0.4876614205386228,-0.9258994850754829,1
0.23474208329416163,-0.8600867513272321,1
-1.9534829703029746,1.0557725420566566,0
2.4898465949289865,1.4925393180852975,1
-1.951766204377946,1.0574945960253084,0
0.13438865803949912,-0.7876653177136692,1
0.7324115760184112,-0.610398139458101,1
2.016843498971887,-0.9920885242090898,1
-1.9508260789566665,1.058437617254436,0
0.18782532473834157,-0.9575793389808611,1
0.5474812011137219,-1.1264380060425654,1
1.4089214760225943,-0.6371508437833704,1
1.3545847007900296,-0.8030575638150023,1
0.1882799133017216,-0.8463076610229273,1
0.6356724766370697,-0.6453220850653935,1
-1.955650104060518,1.0535987330164316,0
-1.9506476050168462,1.0586166409360502,0
3.635789007116817,-3.4604470021286753,1
1.4813410299606848,-0.6215268873913145,1
-1.9528949126145434,1.05636241110135,0
0.5329870066561887,-0.6759430507788953,1
-1.9509484312083791,1.0583148881289544,0
-1.9534244085414711,1.0558312842021862,0
1.8152089042251367,-0.7343273702151317,1
-1.9529262849867774,1.0563309420948164,0
0.7673738591729717,-1.4710248964566028,1
0.1545335165986585,-0.5365009485710005,1
-1.9516170113188775,1.0576442486341577,0
2.175254490235872,-0.3809779098681109,1
-1.9508246846290116,1.0584390158769486,0
0.7839946493914957,-0.8770557026504502,1
-1.9534948220880408,1.0557606537652995,0
0.27617457870304163,-0.9116970267458251,1
1.8723303985483015,-1.3808519378981805,1
-1.9554733730302665,1.053776008419905,0
-0.2754730911225121,-0.5825456627407639,1
1.9936195171161855,0.026612391322208946,1
-1.9529266335686912,1.0563305924391881,0
-1.9508128328439454,1.058450904168306,0
0.17136906450241515,-0.8142123374511513,1
-1.9528719062082385,1.056385488372808,0
1.2472554176373205,-1.0167722761131277,1
-1.953348417684282,1.0559075091291235,0
1.3200972340499892,-0.9051479943418306,1
2.6665301378043464,0.8455972169437657,1
2.549021860246646,0.3286143344965827,1
0.5186575159782293,-0.5330453924731359,1
-1.950900326904287,1.0583631406056395,0
1.8917022656599516,-0.6946475023321658,1
2.27597259861707,0.5951537028249957,1
0.7287990307081246,-0.7894447447021574,1
-1.9545517224504136,1.0547004979007406,0
0.24271271702228206,-0.8660046510470609,1
-1.953571858690971,1.0556833798714778,0
0.17625052447333667,-0.8475850949101285,1
-1.9530315567247183,1.0562253460951143,0
0.7139260498266764,-0.363249365756051,1
-1.9506350560679526,1.0586292285386636,0
0.1545563071441501,-0.5365751054958195,1
0.7257582167758232,-1.340795833464594,1
